Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,28.950001,30.120001,28.400000,29.959999,29.959999,76500
2022-11-22,30.360001,30.820000,30.280001,30.510000,30.510000,23100
2022-11-23,29.650000,30.150000,29.120001,29.330000,29.330000,30400
2022-11-25,29.570000,29.850000,29.059999,29.080000,29.080000,8400
2022-11-28,28.299999,29.330000,28.200001,29.180000,29.180000,45600
2022-11-29,29.770000,30.010000,29.240000,29.780001,29.780001,30600
2022-11-30,30.480000,30.639999,30.290001,30.440001,30.440001,26500
2022-12-01,31.139999,31.350000,30.600000,30.639999,30.639999,31400
2022-12-02,30.629999,30.870001,30.150000,30.330000,30.330000,17300
2022-12-05,31.010000,31.170000,29.150000,29.379999,29.379999,37100
2022-12-06,28.950001,29.190001,27.920000,28.200001,28.200001,81800
2022-12-07,28.400000,28.500000,27.360001,27.570000,27.570000,39400
2022-12-08,27.910000,28.059999,27.049999,27.070000,27.070000,37100
2022-12-09,27.200001,27.450001,26.719999,27.230000,27.230000,28500
2022-12-12,27.330000,28.010000,27.330000,27.860001,27.860001,81400
2022-12-13,28.280001,28.799999,28.170000,28.639999,28.639999,60000
2022-12-14,29.010000,29.379999,28.760000,29.280001,29.280001,50400
2022-12-15,29.020000,29.070000,28.500000,28.670000,28.670000,20800
2022-12-16,27.959999,28.500000,27.740000,28.160000,28.160000,48100
2022-12-19,28.540001,28.820000,28.129999,28.760000,28.760000,28900
2022-12-20,28.680000,28.920000,28.219999,28.809999,28.809999,14800
2022-12-21,29.320000,29.629999,29.219999,29.549999,29.549999,61600
2022-12-22,29.780001,29.799999,29.030001,29.459999,29.459999,28100
2022-12-23,30.070000,30.190001,29.920000,30.090000,30.090000,38700
2022-12-27,30.360001,30.610001,30.110001,30.209999,30.209999,37300
2022-12-28,29.610001,30.000000,29.350000,29.770000,29.770000,20300
2022-12-29,29.850000,29.850000,29.360001,29.809999,29.809999,24000
2022-12-30,29.459999,30.500000,29.459999,30.500000,30.500000,28700
2023-01-03,29.870001,30.150000,29.200001,29.370001,29.370001,25400
2023-01-04,28.450001,28.450001,27.670000,27.879999,27.879999,67200
2023-01-05,27.790001,28.450001,27.670000,27.969999,27.969999,32800
2023-01-06,28.520000,28.549999,27.959999,28.100000,28.100000,23200
2023-01-09,28.809999,29.100000,28.440001,28.549999,28.549999,33000
2023-01-10,28.719999,28.850000,28.379999,28.549999,28.549999,13000
2023-01-11,29.180000,29.549999,28.950001,29.500000,29.500000,62800
2023-01-12,29.910000,30.080000,29.709999,29.709999,29.709999,33100
2023-01-13,29.969999,30.469999,29.969999,30.440001,30.440001,19900
2023-01-17,30.760000,30.830000,30.209999,30.719999,30.719999,46400
2023-01-18,31.000000,31.250000,30.090000,30.219999,30.219999,32000
2023-01-19,30.389999,30.900000,30.240000,30.680000,30.680000,52200
2023-01-20,30.879999,31.110001,30.400000,30.950001,30.950001,41500
2023-01-23,31.150000,31.350000,30.950001,31.010000,31.010000,38500
2023-01-24,31.049999,31.070000,30.370001,30.540001,30.540001,21700
2023-01-25,30.500000,30.760000,30.299999,30.590000,30.590000,16900
2023-01-26,31.139999,31.139999,30.709999,30.809999,30.809999,9500
2023-01-27,31.170000,31.170000,30.059999,30.209999,30.209999,30500
2023-01-30,29.879999,30.309999,29.520000,29.530001,29.530001,33200
2023-01-31,29.430000,30.170000,29.430000,30.129999,30.129999,19700
2023-02-01,29.980000,30.100000,29.000000,29.309999,29.309999,54900
2023-02-02,29.059999,29.290001,28.700001,28.850000,28.850000,80300
2023-02-03,28.940001,29.650000,27.950001,27.950001,27.950001,82600
2023-02-06,28.290001,28.469999,27.629999,28.469999,28.469999,47300
2023-02-07,28.520000,29.500000,28.520000,29.500000,29.500000,46800
2023-02-08,29.750000,29.860001,29.370001,29.790001,29.790001,17800
2023-02-09,29.670000,29.700001,29.250000,29.549999,29.549999,18000
2023-02-10,30.000000,30.400000,29.980000,30.299999,30.299999,28600
2023-02-13,30.100000,30.580000,29.980000,30.000000,30.000000,64300
2023-02-14,29.650000,30.270000,29.549999,30.200001,30.200001,24100
2023-02-15,29.889999,30.180000,29.549999,30.049999,30.049999,15100
2023-02-16,29.809999,30.049999,29.760000,29.790001,29.790001,22500
2023-02-17,28.860001,29.180000,28.719999,29.150000,29.150000,60400
2023-02-21,29.379999,29.420000,28.920000,28.940001,28.940001,18400
2023-02-22,28.870001,28.900000,28.180000,28.200001,28.200001,13500
2023-02-23,28.730000,28.950001,28.600000,28.870001,28.870001,16500
2023-02-24,28.520000,29.180000,28.299999,29.180000,29.180000,19100
